Order_ID,Order_Date,Region,Product,Category,Quantity,Unit_Price,Revenue
1,2023-10-21,South,Sofa,Furniture,7,1764,12348
2,2023-01-19,North,T-Shirt,Clothing,2,20461,40922
3,2023-07-14,South,Jacket,Clothing,8,49864,398912
4,2023-05-24,South,T-Shirt,Clothing,2,32981,65962
5,2023-08-29,East,Headphones,Electronics,3,13235,39705
6,2023-11-29,East,Headphones,Electronics,4,1047,4188
7,2023-04-20,North,Jeans,Clothing,9,20085,180765
8,2023-07-09,West,Jacket,Clothing,2,24409,48818
9,2023-12-24,South,Laptop,Electronics,6,6434,38604
10,2023-07-27,West,T-Shirt,Clothing,7,2035,14245
11,2023-01-01,East,Jacket,Clothing,2,30429,60858
12,2023-06-26,North,Jacket,Clothing,9,48944,440496
13,2023-07-26,West,Table,Furniture,1,32787,32787
14,2023-07-28,West,Sofa,Furniture,6,34168,205008
15,2023-02-14,East,Sofa,Furniture,2,46507,93014
16,2023-09-10,East,Laptop,Electronics,6,47611,285666
17,2023-04-06,South,Mobile,Electronics,8,3543,28344
18,2023-09-06,West,Jeans,Clothing,8,34323,274584
19,2023-04-18,South,Jacket,Clothing,4,45146,180584
20,2023-05-08,North,Mobile,Electronics,9,32140,289260
21,2023-03-24,North,T-Shirt,Clothing,2,2949,5898
22,2023-05-08,South,Sofa,Furniture,2,33825,67650
23,2023-10-26,South,Headphones,Electronics,6,45020,270120
24,2023-05-08,East,Sofa,Furniture,9,20031,180279
25,2023-09-14,South,Table,Furniture,7,35198,246386
26,2023-09-08,West,Jeans,Clothing,3,42632,127896
27,2023-11-03,North,Jacket,Clothing,9,31254,281286
28,2023-05-06,North,Headphones,Electronics,6,32350,194100
29,2023-11-14,West,Sofa,Furniture,1,35624,35624
30,2023-03-05,East,Table,Furniture,1,46831,46831
31,2023-03-07,West,Sofa,Furniture,8,36301,290408
32,2023-05-01,East,Chair,Furniture,8,24792,198336
33,2023-09-09,East,Jacket,Clothing,3,48880,146640
34,2023-05-19,West,Jeans,Clothing,5,29630,148150
35,2023-03-31,North,Headphones,Electronics,2,26697,53394
36,2023-04-24,South,Sofa,Furniture,6,33597,201582
37,2023-07-18,West,Headphones,Electronics,1,24494,24494
38,2023-09-16,West,Jeans,Clothing,4,6428,25712
39,2023-09-18,South,Laptop,Electronics,8,13585,108680
40,2023-02-12,North,Sofa,Furniture,5,35366,176830
41,2023-10-07,East,Jeans,Clothing,10,27961,279610
42,2023-07-18,South,Jeans,Clothing,10,9184,91840
43,2023-11-16,West,Jacket,Clothing,5,40342,201710
44,2023-11-19,East,Headphones,Electronics,6,10110,60660
45,2023-12-13,West,Mobile,Electronics,2,48752,97504
46,2023-09-18,West,T-Shirt,Clothing,6,43522,261132
47,2023-01-21,West,Jeans,Clothing,4,22734,90936
48,2023-04-12,South,Table,Furniture,10,15538,155380
49,2023-03-05,North,Table,Furniture,7,43837,306859
50,2023-06-13,East,Chair,Furniture,5,41774,208870
51,2023-05-11,West,Jeans,Clothing,2,34309,68618
52,2023-05-13,West,Mobile,Electronics,5,20240,101200
53,2023-10-19,West,Jeans,Clothing,4,47734,190936
54,2023-06-28,South,Chair,Furniture,7,15551,108857
55,2023-10-26,West,Jeans,Clothing,9,1133,10197
56,2023-11-16,West,Table,Furniture,5,20792,103960
57,2023-01-29,West,Mobile,Electronics,3,44267,132801
